,City,Country,Latitude,Longitude,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Tcholliré,CM,8.4,14.17,298.83,52,36,0.71
1,Katima Mulilo,NA,-17.5,24.27,297.93,22,23,3.35
2,Albany,US,42.6,-73.97,277.59,78,0,2.6
3,Bambous Virieux,MU,-20.34,57.76,292.15,82,75,3.6
4,Rikitea,PF,-23.12,-134.97,297.41,67,0,2.51
5,Saint Anthony,US,45.02,-93.22,285.15,54,40,8.2
6,Nikolskoye,RU,59.7,30.79,274.82,86,26,1.41
7,Boa Vista,BR,2.82,-60.67,305.15,52,75,7.2
8,Kaitangata,NZ,-46.28,169.85,289.82,48,74,5.81
9,Hermanus,ZA,-34.42,19.23,287.04,81,0,0.89
10,São Filipe,CV,14.9,-24.5,299.82,65,82,4.89
11,Waitati,NZ,-45.75,170.57,287.04,62,28,5.81
12,New Richmond,US,45.12,-92.54,285.15,58,75,7.2
13,Flinders,AU,-34.58,150.86,289.82,88,90,3.13
14,Hofn,IS,64.25,-15.21,279.24,69,100,6.94
15,Lüderitz,NA,-26.65,15.16,291.78,44,21,9.56
16,Busselton,AU,-33.65,115.33,288.71,81,100,0.63
17,East London,ZA,-33.02,27.91,291.34,73,98,5.1
18,Broken Hill,AU,-31.95,141.43,286.15,76,0,5.7
19,Pacasmayo,PE,-7.4,-79.57,292.63,74,45,6.59
20,Alibag,IN,18.64,72.88,300.15,57,22,1.86
21,Kapaa,US,22.08,-159.32,302.15,66,40,5.7
22,Te Anau,NZ,-45.42,167.72,285.75,56,46,4.43
23,Hasaki,JP,35.73,140.83,279.15,100,75,1.0
24,Hithadhoo,MV,-0.6,73.08,301.87,69,100,3.74
25,Biggar,GB,55.62,-3.52,280.93,77,95,4.92
26,Punta Arenas,CL,-53.15,-70.92,287.15,62,75,5.7
27,Dicabisagan,PH,17.08,122.42,297.98,87,100,6.57
28,Port Alfred,ZA,-33.59,26.89,290.06,80,54,5.6
29,Tuktoyaktuk,CA,69.45,-133.04,254.15,84,75,1.5
30,Clyde River,CA,70.47,-68.59,262.15,92,75,7.7
31,Ushuaia,AR,-54.8,-68.3,283.15,93,90,4.1
32,Filingué,NE,14.35,3.32,303.7,13,0,3.62
33,Pokhara,NP,28.23,83.98,293.58,29,60,2.73
34,Cape Town,ZA,-33.93,18.42,289.26,55,0,6.2
35,Iqaluit,CA,63.75,-68.51,265.15,72,75,3.1
36,Lebu,CL,-37.62,-73.65,287.06,76,0,3.95
37,Mataura,NZ,-46.19,168.86,285.93,77,26,7.15
38,Beloha,MG,-25.17,45.05,290.77,87,0,2.81
39,Saskylakh,RU,71.92,114.08,252.51,85,1,3.26
40,Severnyy,RU,50.68,36.55,281.15,100,90,4.0
41,Bilibino,RU,68.05,166.44,255.81,84,71,1.07
42,Sitārganj,IN,28.93,79.7,292.12,57,0,0.84
43,Atuona,PF,-9.8,-139.03,299.0,75,12,7.68
44,Stykkisholmur,IS,65.08,-22.73,277.61,86,67,3.46
45,Mahon,ES,39.89,4.27,288.15,87,20,2.1
46,Saint Paul Harbor,US,57.79,-152.41,275.15,47,1,4.1
47,Cravo Norte,CO,6.3,-70.2,300.85,77,97,1.94
48,Balotra,IN,25.83,72.23,297.03,20,0,2.06
49,Lively,CA,46.43,-81.15,276.48,64,90,9.8
50,Miranda,CO,3.25,-76.23,299.15,61,75,1.0
51,Vaini,TO,-21.2,-175.2,297.15,88,75,4.6
52,Ardakān,IR,32.31,54.02,283.78,45,0,0.96
53,Arrondissement de Tarbes,FR,43.25,0.17,283.15,81,0,2.6
54,Touros,BR,-5.2,-35.46,299.15,83,40,3.6
55,Rawson,AR,-43.3,-65.1,299.64,17,2,9.09
56,Tuatapere,NZ,-46.13,167.68,285.93,77,60,7.15
57,Barrow,US,71.29,-156.79,267.15,73,75,4.39
58,Ilulissat,GL,69.22,-51.1,267.15,67,100,3.6
59,Golfito,CR,8.64,-83.17,298.67,88,100,1.48
60,Tiksi,RU,71.69,128.87,256.71,92,98,2.44
61,Codrington,AU,-38.27,141.97,285.61,83,17,1.47
62,Avarua,CK,-21.21,-159.78,297.15,83,99,5.1
63,Quang Ngai,VN,15.12,108.8,297.03,92,97,2.36
64,Arraial do Cabo,BR,-22.97,-42.03,295.15,88,90,3.6
65,Havre-St-Pierre,CA,50.23,-63.6,271.15,74,0,8.2
66,Jām Sāhib,PK,26.3,68.63,294.15,60,0,1.79
67,Yar-Sale,RU,66.83,70.83,269.68,97,19,5.16
68,Ust'-Omchug,RU,61.15,149.63,267.37,96,100,1.36
69,Kathmandu,NP,27.72,85.32,288.15,87,20,1.0
70,Cadiz,ES,36.5,-5.75,290.15,87,0,0.5
71,Zigong,CN,29.34,104.78,288.47,78,100,1.54
72,Iyo,JP,33.75,132.7,284.82,81,40,2.1
73,Oranjestad,AW,12.52,-70.03,302.15,79,20,5.1
74,Susteren,NL,51.07,5.85,288.71,87,20,8.2
75,Constitución,CL,-35.33,-72.42,289.08,74,12,3.18
76,Waldoboro,US,44.1,-69.38,277.15,48,1,2.6
77,Hong Kong,HK,22.29,114.16,295.93,78,92,0.45
78,Nizhnevartovsk,RU,60.93,76.55,273.15,97,0,4.0
79,Katsuura,JP,35.13,140.3,285.15,76,75,3.6
80,Coahuayana Viejo,MX,18.73,-103.68,302.15,70,40,5.1
81,Along,IN,28.17,94.77,292.42,82,100,0.12
82,Rio Grande,BR,-32.03,-52.1,289.82,74,0,1.34
83,Mizdah,LY,31.45,12.98,286.32,86,0,2.27
84,Thompson,CA,55.74,-97.86,266.15,67,75,5.7
85,Hilo,US,19.73,-155.09,304.15,55,1,2.6
86,Carnarvon,AU,-24.87,113.63,294.15,73,90,5.7
87,Le Port,RE,-20.94,55.29,290.15,67,0,3.1
88,Qaanaaq,GL,77.48,-69.36,259.58,83,74,2.8
89,Carutapera,BR,-1.2,-46.02,299.47,77,18,3.21
90,Sayyan,YE,15.17,44.32,283.81,43,0,2.04
91,Riyadh,SA,24.69,46.72,294.15,37,0,1.5
92,Pangnirtung,CA,66.15,-65.71,262.61,79,100,2.31
93,Hobart,AU,-42.88,147.33,288.71,76,75,3.1
94,Byron Bay,AU,-28.65,153.62,294.26,64,0,3.6
95,Port Moresby,PG,-9.44,147.18,298.15,94,40,1.5
96,Sur,OM,22.57,59.53,293.82,56,0,0.53
97,Saquarema,BR,-22.92,-42.51,294.15,88,90,3.6
98,Los Llanos de Aridane,ES,28.66,-17.92,301.15,21,0,4.6
99,Balkanabat,TM,39.51,54.37,292.62,26,5,2.61
100,Puerto del Rosario,ES,28.5,-13.86,295.15,68,0,3.6
101,Zhigansk,RU,66.77,123.37,254.22,92,99,1.63
102,Cabo San Lucas,MX,22.89,-109.91,304.15,65,20,6.2
103,Wausau,US,44.96,-89.63,285.37,50,90,6.2
104,Bluff,NZ,-46.6,168.33,285.93,77,97,7.15
105,Zhangaözen,KZ,43.3,52.8,285.07,35,51,6.98
106,Jamūī,IN,24.92,86.22,294.83,75,0,2.56
107,Birjand,IR,32.87,59.22,276.15,8,0,3.1
108,Mar del Plata,AR,-38.0,-57.56,291.15,55,0,4.1
109,Gol,NO,60.7,8.95,274.82,98,99,1.34
110,Nāgothana,IN,18.53,73.13,300.15,57,16,0.94
111,Butaritari,KI,3.07,172.79,300.59,75,100,6.96
112,Macamic,CA,48.75,-79.0,275.15,51,75,8.7
113,Airai,TL,-8.93,125.41,289.72,62,41,1.02
114,Cockburn Town,TC,21.46,-71.14,300.15,74,75,6.2
115,Evensk,RU,61.95,159.23,268.2,93,73,5.61
116,Sal Rei,CV,16.18,-22.92,298.15,73,40,7.2
117,Dikson,RU,73.51,80.55,264.89,97,99,4.22
118,Puerto Ayora,EC,-0.74,-90.35,299.15,69,75,8.7
119,Puchezh,RU,56.98,43.17,278.32,86,88,5.76
120,Port Lincoln,AU,-34.73,135.87,287.11,81,3,5.97
121,Jamestown,US,42.1,-79.24,279.26,56,1,5.1
122,Poum,NC,-20.23,164.02,298.9,78,25,9.55
123,Wanaque,US,41.04,-74.29,279.82,60,0,2.22
124,Moerai,PF,-22.43,-151.33,296.36,83,100,10.2
125,George Town,MY,5.41,100.34,297.15,94,20,1.0
126,Khatanga,RU,71.97,102.5,251.59,87,32,3.99
127,Palana,RU,59.12,159.97,273.03,91,100,1.99
128,Sahuaripa,MX,29.05,-109.23,305.01,15,99,1.75
129,Gōtsuchō,JP,35.0,132.22,285.47,75,62,2.24
130,Chabahar,IR,25.29,60.64,296.15,36,0,1.47
131,Dingle,PH,11.0,122.67,297.53,84,100,1.41
132,Panipat,IN,29.39,76.97,290.95,24,0,2.43
133,Khakhea,BW,-24.69,23.49,295.95,47,81,5.52
134,Tiarei,PF,-17.53,-149.33,300.15,74,40,8.2
